prefix,class,class_uri
dwc,CHRONOMETRIC_AGE,http://rs.tdwg.org/chrono/terms/ChronometricAge
dwc,EVENT,http://rs.tdwg.org/dwc/terms/Event
dwc,GEOLOGICAL_CONTEXT,http://rs.tdwg.org/dwc/terms/GeologicalContext
dwc,IDENTIFICATION,http://rs.tdwg.org/dwc/terms/Identification
dwc,LOCATION,http://purl.org/dc/terms/Location
dwc,MATERIAL_ENTITY,http://rs.tdwg.org/dwc/terms/MaterialEntity
dwc,MATERIAL_SAMPLE,http://rs.tdwg.org/dwc/terms/MaterialSample
dwc,MEASUREMENT_OR_FACT,http://rs.tdwg.org/dwc/terms/MeasurementOrFact
dwc,OCCURRENCE,http://rs.tdwg.org/dwc/terms/Occurrence
dwc,ORGANISM,http://rs.tdwg.org/dwc/terms/Organism
dwc,RESOURCE_RELATIONSHIP,http://rs.tdwg.org/dwc/terms/ResourceRelationship
dwc,TAXON,http://rs.tdwg.org/dwc/terms/Taxon
ac,AC_MULTIMEDIA,http://rs.tdwg.org/ac/terms/Multimedia
eco,ECO_EVENT,http://rs.tdwg.org/eco/terms/Event
eol,DOCUMENT,http://eol.org/schema/media/Document
eol,EOL_REFERENCE,http://eol.org/schema/reference/Reference
gbif,DESCRIPTION,http://rs.gbif.org/terms/1.0/Description
gbif,DISTRIBUTION,http://rs.gbif.org/terms/1.0/Distribution
gbif,DNADERIVED_DATA,http://rs.gbif.org/terms/1.0/DNADerivedData
gbif,IDENTIFIER,http://rs.gbif.org/terms/1.0/Identifier
gbif,MULTIMEDIA,http://rs.gbif.org/terms/1.0/Multimedia
gbif,REFERENCE,http://rs.gbif.org/terms/1.0/Reference
gbif,RELEVE,http://rs.gbif.org/terms/1.0/Releve
gbif,SPECIES_PROFILE,http://rs.gbif.org/terms/1.0/SpeciesProfile
gbif,TYPES_AND_SPECIMEN,http://rs.gbif.org/terms/1.0/TypesAndSpecimen
gbif,VERNACULAR_NAME,http://rs.gbif.org/terms/1.0/VernacularName
germplasm,GERMPLASM_TERM_GERMPLASMACCESSION,http://purl.org/germplasm/germplasmTerm#GermplasmAccession
germplasm,GERMPLASM_TERM_MEASUREMENTSCORE,http://purl.org/germplasm/germplasmTerm#MeasurementScore
germplasm,GERMPLASM_TERM_MEASUREMENTTRAIT,http://purl.org/germplasm/germplasmTerm#MeasurementTrait
germplasm,GERMPLASM_TERM_MEASUREMENTTRIAL,http://purl.org/germplasm/germplasmTerm#MeasurementTrial
ggbn,AMPLIFICATION,http://data.ggbn.org/schemas/ggbn/terms/Amplification
ggbn,CLONING,http://data.ggbn.org/schemas/ggbn/terms/Cloning
ggbn,GEL_IMAGE,http://data.ggbn.org/schemas/ggbn/terms/GelImage
ggbn,GGBN_MATERIAL_SAMPLE,http://data.ggbn.org/schemas/ggbn/terms/MaterialSample
ggbn,LOAN,http://data.ggbn.org/schemas/ggbn/terms/Loan
ggbn,PERMIT,http://data.ggbn.org/schemas/ggbn/terms/Permit
ggbn,PREPARATION,http://data.ggbn.org/schemas/ggbn/terms/Preparation
ggbn,PRESERVATION,http://data.ggbn.org/schemas/ggbn/terms/Preservation
obis,EXTENDED_MEASUREMENT_OR_FACT,http://rs.iobis.org/obis/terms/ExtendedMeasurementOrFact
